nama_kelurahan,JULY,AUGUST,SEPTEMBER
ANCOL,164,265,369
ANGKE,202,271,341
BALE KAMBANG,74,149,211
BALI MESTER,34,52,83
BAMBU APUS,111,163,275
BANGKA,91,108,189
BARU,63,136,250
BATU AMPAR,145,250,346
BENDUNGAN HILIR,183,256,332
BIDARA CINA,79,179,263
BINTARO,361,433,557
BUKIT DURI,92,125,284
BUNGUR,88,135,188
CAKUNG BARAT,86,134,239
CAKUNG TIMUR,83,156,293
CAWANG,81,147,229
CEGER,71,106,182
CEMPAKA BARU,203,324,478
CEMPAKA PUTIH BARAT,420,569,744
CEMPAKA PUTIH TIMUR,248,381,507
CENGKARENG BARAT,106,252,436
CENGKARENG TIMUR,150,361,629
CIBUBUR,202,355,644
CIDENG,119,173,227
CIGANJUR,306,433,531
CIJANTUNG,183,328,557
CIKINI,44,80,117
CIKOKO,40,84,149
CILANDAK BARAT,248,368,661
CILANDAK TIMUR,90,168,345
CILANGKAP,111,170,250
CILILITAN,98,154,243
CILINCING,165,276,426
CIPAYUNG,149,214,376
CIPEDAK,238,352,453
CIPETE SELATAN,97,138,197
CIPETE UTARA,114,272,407
CIPINANG,64,127,235
CIPINANG BESAR SELATAN,65,126,192
CIPINANG BESAR UTARA,57,133,311
CIPINANG CEMPEDAK,72,131,200
CIPINANG MELAYU,77,171,275
CIPINANG MUARA,98,186,312
CIPULIR,98,153,243
CIRACAS,190,367,648
DUKUH,91,122,190
DUREN SAWIT,344,525,724
DUREN TIGA,142,182,316
DURI KEPA,153,226,384
DURI KOSAMBI,142,247,424
DURI PULO,59,102,142
DURI SELATAN,42,85,114
DURI UTARA,81,113,159
GALUR,50,113,173
GAMBIR,28,52,70
GANDARIA SELATAN,77,114,154
GANDARIA UTARA,102,228,423
GEDONG,261,434,602
GELORA,31,36,49
GLODOK,35,50,96
GONDANGDIA,20,37,50
GROGOL,117,182,348
GROGOL SELATAN,97,175,269
GROGOL UTARA,141,192,297
GUNTUR,19,40,48
GUNUNG,44,64,212
GUNUNG SAHARI SELATAN,120,162,235
GUNUNG SAHARI UTARA,98,154,243
HALIM PERDANA KUSUMAH,54,111,181
HARAPAN MULIA,140,204,280
JAGAKARSA,345,534,748
JATI,87,183,292
JATI PADANG,135,196,369
JATI PULO,186,273,410
JATINEGARA,136,240,447
JATINEGARA KAUM,20,44,99
JELAMBAR,100,189,322
JELAMBAR BARU,148,244,311
JEMBATAN BESI,293,408,497
JEMBATAN LIMA,73,117,157
JOGLO,99,162,301
JOHAR BARU,217,341,544
KALI ANYAR,121,233,318
KALI BARU,120,217,367
KALIBATA,190,260,428
KALIDERES,388,598,827
KALISARI,181,505,773
KAMAL,147,205,271
KAMAL MUARA,15,49,70
KAMPUNG BALI,75,99,125
KAMPUNG MELAYU,42,107,168
KAMPUNG RAWA,116,188,255
KAMPUNG TENGAH,223,323,432
KAPUK,168,347,553
KAPUK MUARA,58,116,170
KARANG ANYAR,229,307,399
KARET,53,87,104
KARET KUNINGAN,80,113,178
KARET SEMANGGI,39,41,49
KARET TENGSIN,106,164,201
KARTINI,167,214,287
KAYU MANIS,114,173,291
KAYU PUTIH,169,254,377
KEAGUNGAN,78,165,260
KEBAGUSAN,135,216,463
KEBAYORAN LAMA SELATAN,147,298,406
KEBAYORAN LAMA UTARA,114,184,295
KEBON BARU,88,139,280
KEBON BAWANG,196,369,555
KEBON JERUK,208,308,510
KEBON KACANG,284,351,395
KEBON KELAPA,63,85,124
